fname,itp,tp_prob,its,ts_prob
20210130225441.000000.GD.HEP.mseed_24000,[],[],[],[]
20210130225441.000000.GD.DFH.mseed_21000,[1496],[0.968655],[],[]
20210130225441.000000.GD.LTK.mseed_36000,[],[],[],[]
20210130225441.000000.GD.HYJ.mseed_27000,[2481],[0.869603],[2693],[0.943225]
20210130225441.000000.GD.GUL.mseed_24000,[],[],[],[]
20210130225441.000000.GD.DYXC.mseed_36000,[],[],[],[]
20210130225441.000000.GD.QZI.mseed_0,[499],[0.521853],[],[]
20210130225441.000000.GD.DOY.mseed_21000,[1496],[0.960357],[],[]
20210130225441.000000.GD.LTK.mseed_39000,[],[],[],[]
20210130225441.000000.GD.HEP.mseed_27000,[2624],[0.862589],[],[]
20210130225441.000000.GD.HYJ.mseed_30000,[],[],[],[]
20210130225441.000000.GD.DOY.mseed_24000,[],[],[],[]
20210130225441.000000.GD.GUL.mseed_27000,[2700],[0.710579],[],[]
20210130225441.000000.GD.DYXC.mseed_39000,[],[],[],[]
20210130225441.000000.GD.QZI.mseed_3000,[],[],[],[]
20210130225441.000000.GD.DFH.mseed_24000,[],[],[],[]
20210130225441.000000.GD.HEP.mseed_30000,[2095],[0.497229],[],[]
20210130225441.000000.GD.GUL.mseed_30000,[],[],[91],[0.821494]
20210130225441.000000.GD.HYJ.mseed_33000,[],[],[],[]
20210130225441.000000.GD.DOY.mseed_27000,[2333],[0.973324],[2455],[0.962601]
20210130225441.000000.GD.QZI.mseed_6000,[],[],[],[]
20210130225441.000000.GD.DFH.mseed_27000,[2622],[0.951448],[2952],[0.534274]
20210130225441.000000.GD.HEP.mseed_33000,[],[],[],[]
20210130225441.000000.GD.GUL.mseed_33000,[],[],[],[]
20210130225441.000000.GD.HYJ.mseed_36000,[],[],[],[]
20210124020125.000000.GD.DFH.mseed_0,[],[],[],[]
20210130225441.000000.GD.XIG.mseed_0,[1740],[0.460363],[2026],[0.582634]
20210130225441.000000.GD.DFH.mseed_30000,[],[],[],[]
20210130225441.000000.GD.QZI.mseed_9000,[],[],[],[]
20210130225441.000000.GD.DFH.mseed_33000,[],[],[],[]
20210130225441.000000.GD.DOY.mseed_30000,[],[],[],[]
20210124020125.000000.GD.DFH.mseed_3000,[],[],[],[]
20210130225441.000000.GD.DFH.mseed_36000,[],[],[],[]
20210130225441.000000.GD.XIG.mseed_3000,[],[],[],[]
